YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2012.00,4.00000,19.0000,0.00000,7.27133e+17,3.66157e+16,12.2800,13.3260,0.00000
2012.00,10.0000,3.00000,0.00000,1.07533e+18,2.42236e+16,11.2000,14.6870,1.00000
2012.00,12.0000,13.0000,0.00000,1.06040e+18,1.83685e+16,13.4000,13.9570,0.00000
2013.00,1.00000,4.00000,0.00000,1.02709e+18,1.01153e+16,9.64000,15.6590,0.00000
2013.00,1.00000,11.0000,0.00000,8.81442e+17,2.46437e+16,10.3200,11.5360,0.00000
2013.00,1.00000,16.0000,0.00000,8.16227e+17,1.12918e+16,11.8200,15.2100,0.00000
2013.00,2.00000,1.00000,0.00000,4.47157e+17,5.14456e+16,4.00000,8.42300,0.00000
2013.00,2.00000,6.00000,0.00000,9.56689e+17,2.05496e+16,12.5000,14.9280,0.00000
2013.00,3.00000,20.0000,0.00000,7.86605e+17,3.37884e+16,9.64000,11.7680,0.00000
2013.00,5.00000,1.00000,0.00000,5.32926e+17,1.71532e+16,6.24000,10.0220,0.00000
2013.00,8.00000,9.00000,0.00000,9.29229e+17,1.88734e+16,10.9000,13.0660,0.00000
2013.00,10.0000,4.00000,0.00000,9.66754e+17,1.48607e+16,10.2400,12.8080,1.00000
